source	target	weight
97716	3209	860.0
97716	2438	1.0
97716	3163	0.0
97716	1911	0.0
97716	2747	0.0
97716	2643	410.0
97716	2082	40.0
97716	2006	1.67
97716	2877	10.0
97716	2554	40.0
97716	1855	2964.0
97716	3166	0.32
97716	2843	0.374
97716	3126	0.078
97716	1759	0.0012
97716	2113	0.0
97716	1729	0.083
97716	2480	0.0
97716	1999	0.44
97716	1762	0.0
97716	3072	0.0
97716	2729	0.0
97716	2017	4.3
97716	2458	0.018
97716	2156	0.139
97716	1903	0.652
97716	1968	0.027
97716	2055	0.023
97716	2863	0.01725
97716	2532	0.0
97716	2335	6.5
97716	2748	0.0246
97716	1805	0.0
97716	1980	0.0
97716	2342	0.0
97716	1728	0.0
97716	3246	0.0
97716	1791	0.0
97716	2173	0.0
97716	2339	104.294118096
97716	3144	19.529411821
97716	2349	165.764705938
97716	1757	32.823529692
97716	3254	332.294119891
98039	3209	310.0
98039	2438	0.0
98039	1813	0.0
98039	2620	11750.0
98039	2310	9290.0
98039	2658	0.0
98039	2024	1730.0
98039	3163	0.0
98039	1911	0.0
98039	2747	0.0
98039	2643	22770.0
98039	2670	0.0
98039	2082	18.0
98039	2006	0.51
98039	2877	33.0
98039	2554	382.0
98039	1855	567.0
98039	3166	0.26
98039	2843	0.181
98039	2431	0.0151
98039	3126	0.128
98039	1759	0.0003
98039	2113	0.0
98039	1729	0.56
98039	2480	0.0
98039	1999	0.73
98039	1762	0.0
98039	3072	0.0
98039	2729	16.709
98039	2059	0.13
98039	2388	0.0
98039	2017	15.1
98039	2458	0.011
98039	2156	0.132
98039	1903	1.426
98039	1968	0.046
98039	2055	0.149
98039	2863	0.0075
98039	2532	0.0
98039	2335	12.5
98039	3016	0.0
98039	2748	0.0028
98039	2363	0.2
98039	2660	18.0
98039	3146	64.0
98039	1764	53.0
98039	1735	76.0
98039	3123	78.0
98039	1881	15.0
98039	2797	16.0
98039	2864	36.0
98039	3182	54.0
98039	2500	44.0
98039	1874	87.0
98039	3017	345.0
98039	1887	1101.0
98039	2927	45.0
98039	1792	60.0
98039	2666	65.0
98039	1805	0.0
98039	1980	0.0
98039	2342	0.0
98039	1728	0.0
98039	3246	0.0
98039	1791	0.0
98039	2173	0.0
97889	3209	150.0
97889	2438	0.0
97889	3163	0.0
97889	1911	0.0
97889	2747	0.0
97889	2643	13910.0
97889	2082	10.0
97889	2006	0.34
97889	2877	0.0
97889	2554	31.0
97889	1855	5.0
97889	3166	0.15
97889	2843	0.013
97889	3126	0.013
97889	1759	0.0003
97889	2113	0.0
97889	1729	0.091
97889	2480	0.0
97889	1999	0.12
97889	1762	0.0
97889	3072	0.251
